timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695579935642,164,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a,200,OK,Scenario 2 2-3,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a&partnerId=18695,164,0,0
1695579935683,166,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43,200,OK,Scenario 2 2-10,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43&partnerId=18695,166,0,0
1695579935740,136,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a,200,OK,Scenario 2 2-6,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a&partnerId=18695,136,0,0
1695579935719,157,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43,200,OK,Scenario 2 2-8,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43&partnerId=18695,157,0,0
1695579935743,134,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a,200,OK,Scenario 2 2-2,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a&partnerId=18695,134,0,0
1695579935849,135,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a,200,OK,Scenario 2 2-10,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a&partnerId=18695,135,0,0
1695579935648,342,https://www.propertyfinder.bh/en/search?c=3&fu=0&ob=mr&page=1,200,OK,Scenario 2 2-9,text,true,,391855,559,10,20,https://www.propertyfinder.bh/en/search?c=3&ob=mr&page=1&fu=0,208,0,0
1695579935876,135,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a,200,OK,Scenario 2 2-8,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a&partnerId=18695,135,0,0
1695579935990,137,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43,200,OK,Scenario 2 2-9,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43&partnerId=18695,137,0,0
1695579936127,131,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a,200,OK,Scenario 2 2-9,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a&partnerId=18695,131,0,0
1695579937376,132,https://www.propertyfinder.bh/en/plp/commercial-buy/office-space-for-sale-capital-governorate-seef-730239.html,200,OK,Scenario 2 2-5,text,true,,419123,608,10,20,https://www.propertyfinder.bh/en/plp/commercial-buy/office-space-for-sale-capital-governorate-seef-730239.html,30,0,0
1695579937508,788,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=6faef5f2-d32a-4296-8114-7425ff4fd8b1,200,OK,Scenario 2 2-5,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=6faef5f2-d32a-4296-8114-7425ff4fd8b1&partnerId=18695,788,0,0
1695579927475,2187,Test,200,"Number of samples in transaction : 7, number of failing samples : 0",Scenario 2 2-5,,true,,1142815,4156,10,20,null,1547,8634,0
1695579935622,2714,https://www.propertyfinder.bh/en/search?c=3&fu=0&ob=mr&page=1,200,OK,Scenario 2 2-1,text,true,,391855,559,10,20,https://www.propertyfinder.bh/en/search?c=3&ob=mr&page=1&fu=0,2493,0,0
1695579935369,2972,https://www.propertyfinder.bh/en/search?c=3&fu=0&ob=mr&page=1,200,OK,Scenario 2 2-7,text,true,,391857,559,10,20,https://www.propertyfinder.bh/en/search?c=3&ob=mr&page=1&fu=0,2720,0,0
1695579938296,193,https://www.propertyfinder.bh/,200,OK,Scenario 2 2-5,text,true,,317788,501,10,20,https://www.propertyfinder.bh/,40,0,0
1695579938341,178,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43,200,OK,Scenario 2 2-7,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43&partnerId=18695,178,0,0
1695579938337,182,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43,200,OK,Scenario 2 2-1,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43&partnerId=18695,182,0,0
1695579938489,159,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=e6106361-7d63-404e-97a8-ba8ae0ce8aee,200,OK,Scenario 2 2-5,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=e6106361-7d63-404e-97a8-ba8ae0ce8aee&partnerId=18695,159,0,0
1695579938519,268,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a,200,OK,Scenario 2 2-1,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a&partnerId=18695,268,0,0
1695579938519,268,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a,200,OK,Scenario 2 2-7,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a&partnerId=18695,268,0,0
1695579938416,372,https://www.propertyfinder.bh/en/search?c=1&fu=0&l=43&ob=mr&page=1,200,OK,Scenario 3 3-9,text,true,,395952,564,10,20,https://www.propertyfinder.bh/en/search?c=1&ob=mr&page=1&l=43&fu=0,293,0,0
1695579938510,360,https://www.propertyfinder.bh/en/search?c=1&fu=0&l=43&ob=mr&page=1,200,OK,Scenario 3 3-10,text,true,,395952,564,10,20,https://www.propertyfinder.bh/en/search?c=1&ob=mr&page=1&l=43&fu=0,302,0,0
1695579939052,777,https://www.propertyfinder.bh/en/plp/commercial-buy/office-space-for-sale-capital-governorate-seef-730239.html,200,OK,Scenario 2 2-4,text,true,,419093,608,10,20,https://www.propertyfinder.bh/en/plp/commercial-buy/office-space-for-sale-capital-governorate-seef-730239.html,19,0,0
1695579938818,1050,https://www.propertyfinder.bh/en/search?c=1&fu=0&l=43&ob=mr&page=1,200,OK,Scenario 3 3-3,text,true,,395952,564,10,20,https://www.propertyfinder.bh/en/search?c=1&ob=mr&page=1&l=43&fu=0,416,0,0
1695579939574,349,https://www.propertyfinder.bh/en/plp/commercial-buy/office-space-for-sale-capital-governorate-seef-730239.html,200,OK,Scenario 2 2-3,text,true,,419093,608,10,20,https://www.propertyfinder.bh/en/plp/commercial-buy/office-space-for-sale-capital-governorate-seef-730239.html,170,0,0
